Instance	Ergebnis
seattle-s405-i20	Available
seattle-s405-i21	Available
seattle-s405-i22	Available
seattle-s405-i23	Available
seattle-s405-i24	Available
seattle-s404-i01	Available
seattle-s404-i02	Available
seattle-s404-i03	Available
seattle-s404-i04	Available
seattle-s404-i05	Available
seattle-s404-i06	Available
seattle-s404-i07	Available
seattle-s404-i08	Available
seattle-s404-i09	Available
seattle-s404-i10	Available
seattle-s404-i11	Available
seattle-s404-i12	Available
seattle-s404-i13	Available
seattle-s404-i14	Available
seattle-s404-i15	Available
seattle-s404-i16	Available
seattle-s404-i17	Available
seattle-s404-i18	Available
seattle-s404-i19	Available
seattle-s404-i20	Available
seattle-s404-i21	Available
seattle-s404-i22	Available
seattle-s404-i23	Available
seattle-s404-i24	Available
seattle-s404-i25	Available
seattle-s404-i26	Available
washington-s403-i01	Available
washington-s403-i02	Available
washington-s403-i03	Available
washington-s403-i04	Available
washington-s403-i05	Available
washington-s403-i06	Available
washington-s403-i07	Available
washington-s403-i08	Available
washington-s403-i09	Available
washington-s403-i10	Available
washington-s403-i11	Available
washington-s403-i12	Available
washington-s403-i13	Available
washington-s403-i14	Available
washington-s403-i15	Available
washington-s403-i16	Available
washington-s403-i17	Available
washington-s403-i18	Available
washington-s403-i19	Available
washington-s403-i20	Available
washington-s403-i21	Available
washington-s403-i22	Available
washington-s403-i23	Available
washington-s403-i24	Available
washington-s403-i25	Available
washington-s403-i26	Available
washington-s403-i27	Available
washington-s403-i28	Available
washington-s403-i29	Available
washington-s403-i30	Available
washington-s403-i31	Available
washington-s405-i01	Available
washington-s405-i02	Available
washington-s405-i03	Available
washington-s405-i04	Available
washington-s405-i05	Available
washington-s405-i06	Available
washington-s405-i07	Available
washington-s405-i08	Available
washington-s405-i09	Available
washington-s405-i10	Available
washington-s405-i11	Available
washington-s405-i12	Available
washington-s405-i13	Available
washington-s405-i14	Available
washington-s405-i15	Available
washington-s405-i16	Available
washington-s405-i17	Available
washington-s405-i18	Available
washington-s405-i19	Available
washington-s405-i20	Available
washington-s405-i21	Available
washington-s405-i22	Available
washington-s405-i23	Available
washington-s405-i24	Available
washington-s405-i25	Available
washington-s405-i26	Available
washington-s405-i27	Available
washington-s405-i28	Available
washington-s405-i29	Available
washington-s405-i30	Available
washington-s405-i31	Available
washington-s402-i01	Available
washington-s402-i02	Available
washington-s402-i03	Available
washington-s402-i04	Available
washington-s402-i05	Available
washington-s402-i06	Available
washington-s402-i07	Available
washington-s402-i08	Available
washington-s402-i09	Available
washington-s402-i10	Available
washington-s402-i11	Available
washington-s402-i12	Available
washington-s402-i13	Available
washington-s402-i14	Available
washington-s402-i15	Available
washington-s402-i16	Available
washington-s402-i17	Available
washington-s402-i18	Available
washington-s402-i19	Available
washington-s402-i20	Available
washington-s402-i21	Available
washington-s402-i22	Available
washington-s402-i23	Available
washington-s402-i24	Available
washington-s402-i25	Available
washington-s402-i26	Available
washington-s402-i27	Available
washington-s402-i28	Available
washington-s402-i29	Available
washington-s402-i30	Available
washington-s402-i31	Available
washington-s404-i01	Available
washington-s404-i02	Available
washington-s404-i03	Available
washington-s404-i04	Available
washington-s404-i05	Available
washington-s404-i06	Available
washington-s404-i07	Available
washington-s404-i08	Available
washington-s404-i09	Available
washington-s404-i10	Available
washington-s404-i11	Available
washington-s404-i12	Available
washington-s404-i13	Available
washington-s404-i14	Available
washington-s404-i15	Available
washington-s404-i16	Available
washington-s404-i17	Available
washington-s404-i18	Available
washington-s404-i19	Available
washington-s404-i20	Available
washington-s404-i21	Available
washington-s404-i22	Available
washington-s404-i23	Available
washington-s404-i24	Available
washington-s404-i25	Available
washington-s404-i26	Available
washington-s404-i27	Available
washington-s404-i28	Available
washington-s404-i29	Available
washington-s404-i30	Available
washington-s404-i31	Available
washington-s406-i01	Available
washington-s406-i02	Available
washington-s406-i03	Available
washington-s406-i04	Available
washington-s406-i05	Available
washington-s406-i06	Available
washington-s406-i07	Available
washington-s406-i08	Available
washington-s406-i09	Available
washington-s406-i10	Available
washington-s406-i11	Available
washington-s406-i12	Available
washington-s406-i13	Available
washington-s406-i14	Available
washington-s406-i15	Available
washington-s406-i16	Available
washington-s406-i17	Available
washington-s406-i18	Available
washington-s406-i19	Available
washington-s406-i20	Available
washington-s406-i21	Available
washington-s406-i22	Available
washington-s406-i23	Available
washington-s406-i24	Available
washington-s406-i25	Available
washington-s406-i26	Available
washington-s406-i27	Available
washington-s406-i28	Available
washington-s406-i29	Available
washington-s406-i30	Available
washington-s406-i31	Available
washington-s421-i01	Available
washington-s421-i02	Available
washington-s421-i03	Available
washington-s421-i04	Available
washington-s421-i05	Available
washington-s421-i06	Available
washington-s421-i07	Available
washington-s421-i08	Available
washington-s421-i09	Available
washington-s421-i10	Available
washington-s421-i11	Available
washington-s421-i12	Available
washington-s421-i13	Available
washington-s421-i14	Available
washington-s421-i15	Available
washington-s421-i16	Available
washington-s421-i17	Available
washington-s421-i18	Available
washington-s421-i19	Available
washington-s421-i20	Available
washington-s421-i21	Available
washington-s421-i22	Available
washington-s421-i23	Available
washington-s421-i24	Available
washington-s421-i25	Available
washington-s421-i26	Available
washington-s421-i27	Available
washington-s421-i28	Available
washington-s421-i29	Available
washington-s421-i30	Available
washington-s421-i31	Available
washington-s421-i32	Available
washington-s421-i33	Available
washington-s421-i34	Available
washington-s421-i35	Available
washington-s421-i36	Available
washington-s421-i37	Available
washington-s421-i38	Available
washington-s421-i39	Available
washington-s421-i40	Available
washington-s421-i41	Available
washington-s421-i42	Available
